pathogenid,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,name
3846198,1,1,0,0,0,0,0,0,0,rupicapra rupicapra gammaherpesvirus 1
3904562,1,0,0,0,0,0,0,0,0,sorex araneus gammaherpesvirus 1
4040842,1,0,0,0,0,0,0,0,0,sperm whale gammaherpesvirus
3757161,1,0,0,0,0,0,0,0,0,springbok herpesvirus 1
3757162,1,0,0,0,0,0,0,0,0,springbok herpesvirus 2
4040843,1,0,0,0,0,0,0,0,0,stejneger's beaked whale gammaherpesvirus
3806502,1,0,0,0,0,0,0,0,0,trichechid herpesvirus 1
3698423,1,0,0,0,0,0,0,0,0,tupaia belangeri gammaherpesvirus 1
27506399,1,0,0,0,0,0,0,0,0,ursid gammaherpesvirus 1
4070524,1,0,0,0,0,0,0,0,0,white-headed marmoset gammaherpesvirus
3553246,1,0,0,0,0,0,0,0,0,wild ass herpesvirus
3553248,1,0,0,0,0,0,0,0,0,zebra herpesvirus
3549764,1,0,0,0,0,0,0,0,0,african elephant endotheliolytic herpesvirus
3549233,1,0,0,0,0,0,0,0,0,asian elephant endotheliolytic herpesvirus
3878925,1,0,0,0,0,0,0,0,0,bat herpesvirus
26745919,1,0,0,0,0,0,0,0,0,beluga whale herpesvirus
3645182,1,0,0,0,0,0,0,0,0,cercopithecine herpesvirus 3
27696877,1,0,0,0,0,0,0,0,0,cheirogaleid herpesvirus 1
27696879,1,0,0,0,0,0,0,0,0,cheirogaleid herpesvirus 2
3482655,1,0,0,0,0,0,0,0,0,cottontail rabbit herpesvirus
4054286,1,0,0,0,0,0,0,0,0,delphinid herpesvirus 9
27762755,1,0,0,0,0,0,0,0,0,dzifa herpesvirus
27744673,1,0,0,0,0,0,0,0,0,eidolon helvum herpesvirus 1
27744675,1,0,0,0,0,0,0,0,0,eidolon helvum herpesvirus 2
27744677,1,0,0,0,0,0,0,0,0,eidolon helvum herpesvirus 3
3459317,1,0,0,0,0,0,0,0,0,gallid herpesvirus
27463390,1,0,0,0,0,0,0,0,0,lorisid herpesvirus 1
27243862,1,0,0,0,0,0,0,0,0,mesoplodon densirostris herpesvirus
27568966,1,0,0,0,0,0,0,0,0,odobenus rosmarus divergens herpesvirus
3596889,1,0,0,0,0,0,0,0,0,ovine herpesvirus 1
27351963,1,0,0,0,0,0,0,0,0,penguin herpesvirus 1
3707470,1,0,0,0,0,0,0,0,0,psittacid herpesvirus 2
3707471,1,0,0,0,0,0,0,0,0,psittacid herpesvirus 3
27692017,1,0,0,0,0,0,0,0,0,thalassarchid herpesvirus 1
