"fam_links","Host","VirusFamily"
"Aselliscus stoliczkanus-hantaviridae","Aselliscus stoliczkanus","hantaviridae"
"Aselliscus stoliczkanus-nodaviridae","Aselliscus stoliczkanus","nodaviridae"
"Aselliscus stoliczkanus-partitiviridae","Aselliscus stoliczkanus","partitiviridae"
"Aselliscus stoliczkanus-phenuiviridae","Aselliscus stoliczkanus","phenuiviridae"
"Aselliscus stoliczkanus-picornaviridae","Aselliscus stoliczkanus","picornaviridae"
"Aselliscus stoliczkanus-rhabdoviridae","Aselliscus stoliczkanus","rhabdoviridae"
"Aselliscus stoliczkanus-togaviridae","Aselliscus stoliczkanus","togaviridae"
"Aselliscus stoliczkanus-totiviridae","Aselliscus stoliczkanus","totiviridae"
"Balionycteris maculata-astroviridae","Balionycteris maculata","astroviridae"
"Barbastella barbastellus-astroviridae","Barbastella barbastellus","astroviridae"
"Barbastella barbastellus-circoviridae","Barbastella barbastellus","circoviridae"
"Barbastella barbastellus-rhabdoviridae","Barbastella barbastellus","rhabdoviridae"
"Cardioderma cor-polyomaviridae","Cardioderma cor","polyomaviridae"
"Cardioderma cor-adenoviridae","Cardioderma cor","adenoviridae"
"Cardioderma cor-astroviridae","Cardioderma cor","astroviridae"
"Cardioderma cor-caliciviridae","Cardioderma cor","caliciviridae"
"Carollia brevicauda-coronaviridae","Carollia brevicauda","coronaviridae"
"Carollia brevicauda-flaviviridae","Carollia brevicauda","flaviviridae"
"Carollia perspicillata-polyomaviridae","Carollia perspicillata","polyomaviridae"
"Carollia perspicillata-papillomaviridae","Carollia perspicillata","papillomaviridae"
"Carollia perspicillata-sedoreoviridae","Carollia perspicillata","sedoreoviridae"
"Carollia perspicillata-orthoherpesviridae","Carollia perspicillata","orthoherpesviridae"
"Carollia perspicillata-paramyxoviridae","Carollia perspicillata","paramyxoviridae"
"Carollia perspicillata-rhabdoviridae","Carollia perspicillata","rhabdoviridae"
"Carollia perspicillata-astroviridae","Carollia perspicillata","astroviridae"
"Carollia perspicillata-flaviviridae","Carollia perspicillata","flaviviridae"
"Carollia perspicillata-arenaviridae","Carollia perspicillata","arenaviridae"
"Carollia perspicillata-anelloviridae","Carollia perspicillata","anelloviridae"
"Carollia perspicillata-togaviridae","Carollia perspicillata","togaviridae"
"Casinycteris argynnis-circoviridae","Casinycteris argynnis","circoviridae"
"Chalinolobus gouldii-circoviridae","Chalinolobus gouldii","circoviridae"
"Chalinolobus gouldii-genomoviridae","Chalinolobus gouldii","genomoviridae"
"Chalinolobus gouldii-adenoviridae","Chalinolobus gouldii","adenoviridae"
"Chalinolobus gouldii-coronaviridae","Chalinolobus gouldii","coronaviridae"
"Chalinolobus gouldii-paramyxoviridae","Chalinolobus gouldii","paramyxoviridae"
"Chalinolobus morio-adenoviridae","Chalinolobus morio","adenoviridae"
"Chalinolobus morio-coronaviridae","Chalinolobus morio","coronaviridae"
"Chalinolobus morio-paramyxoviridae","Chalinolobus morio","paramyxoviridae"
"Chalinolobus tuberculatus-nodaviridae","Chalinolobus tuberculatus","nodaviridae"
"Chalinolobus tuberculatus-coronaviridae","Chalinolobus tuberculatus","coronaviridae"
"Chalinolobus tuberculatus-astroviridae","Chalinolobus tuberculatus","astroviridae"
"Chalinolobus tuberculatus-flaviviridae","Chalinolobus tuberculatus","flaviviridae"
"Chalinolobus tuberculatus-hepeviridae","Chalinolobus tuberculatus","hepeviridae"
"Chalinolobus tuberculatus-papillomaviridae","Chalinolobus tuberculatus","papillomaviridae"
"Chalinolobus tuberculatus-paramyxoviridae","Chalinolobus tuberculatus","paramyxoviridae"
"Chalinolobus tuberculatus-peribunyaviridae","Chalinolobus tuberculatus","peribunyaviridae"
"Chalinolobus tuberculatus-picobirnaviridae","Chalinolobus tuberculatus","picobirnaviridae"
"Chalinolobus tuberculatus-rhabdoviridae","Chalinolobus tuberculatus","rhabdoviridae"
"Choeroniscus godmani-coronaviridae","Choeroniscus godmani","coronaviridae"
"Chrotopterus auritus-rhabdoviridae","Chrotopterus auritus","rhabdoviridae"
"Cnephaeus hottentotus-paramyxoviridae","Cnephaeus hottentotus","paramyxoviridae"
"Cnephaeus isabellinus-coronaviridae","Cnephaeus isabellinus","coronaviridae"
"Cnephaeus isabellinus-orthoherpesviridae","Cnephaeus isabellinus","orthoherpesviridae"
"Cnephaeus isabellinus-papillomaviridae","Cnephaeus isabellinus","papillomaviridae"
"Cnephaeus isabellinus-rhabdoviridae","Cnephaeus isabellinus","rhabdoviridae"
"Cnephaeus japonensis-coronaviridae","Cnephaeus japonensis","coronaviridae"
"Cnephaeus japonensis-hepeviridae","Cnephaeus japonensis","hepeviridae"
"Cnephaeus nilssonii-phenuiviridae","Cnephaeus nilssonii","phenuiviridae"
"Cnephaeus nilssonii-coronaviridae","Cnephaeus nilssonii","coronaviridae"
"Cnephaeus nilssonii-circoviridae","Cnephaeus nilssonii","circoviridae"
"Cnephaeus nilssonii-adenoviridae","Cnephaeus nilssonii","adenoviridae"
"Cnephaeus nilssonii-nairoviridae","Cnephaeus nilssonii","nairoviridae"
"Cnephaeus nilssonii-rhabdoviridae","Cnephaeus nilssonii","rhabdoviridae"
"Cnephaeus pachyomus-astroviridae","Cnephaeus pachyomus","astroviridae"
"Cnephaeus serotinus-polyomaviridae","Cnephaeus serotinus","polyomaviridae"
"Cnephaeus serotinus-coronaviridae","Cnephaeus serotinus","coronaviridae"
"Cnephaeus serotinus-astroviridae","Cnephaeus serotinus","astroviridae"
"Cnephaeus serotinus-circoviridae","Cnephaeus serotinus","circoviridae"
"Cnephaeus serotinus-retroviridae","Cnephaeus serotinus","retroviridae"
"Cnephaeus serotinus-adenoviridae","Cnephaeus serotinus","adenoviridae"
"Cnephaeus serotinus-nodaviridae","Cnephaeus serotinus","nodaviridae"
"Cnephaeus serotinus-hepeviridae","Cnephaeus serotinus","hepeviridae"
"Cnephaeus serotinus-papillomaviridae","Cnephaeus serotinus","papillomaviridae"
"Cnephaeus serotinus-orthoherpesviridae","Cnephaeus serotinus","orthoherpesviridae"
"Cnephaeus serotinus-rhabdoviridae","Cnephaeus serotinus","rhabdoviridae"
"Cnephaeus serotinus-paramyxoviridae","Cnephaeus serotinus","paramyxoviridae"
"Cnephaeus serotinus-spinareoviridae","Cnephaeus serotinus","spinareoviridae"
"Cnephaeus serotinus-flaviviridae","Cnephaeus serotinus","flaviviridae"
"Cnephaeus serotinus-hantaviridae","Cnephaeus serotinus","hantaviridae"
"Cnephaeus serotinus-nairoviridae","Cnephaeus serotinus","nairoviridae"
"Coleura afra-astroviridae","Coleura afra","astroviridae"
"Coleura afra-coronaviridae","Coleura afra","coronaviridae"
"Coleura afra-picornaviridae","Coleura afra","picornaviridae"
"Coleura afra-adenoviridae","Coleura afra","adenoviridae"
