"fam_links","Host","VirusFamily"
"Rousettus leschenaultii-genomoviridae","Rousettus leschenaultii","genomoviridae"
"Rousettus leschenaultii-phenuiviridae","Rousettus leschenaultii","phenuiviridae"
"Rousettus leschenaultii-flaviviridae","Rousettus leschenaultii","flaviviridae"
"Rousettus leschenaultii-spinareoviridae","Rousettus leschenaultii","spinareoviridae"
"Rousettus leschenaultii-partitiviridae","Rousettus leschenaultii","partitiviridae"
"Rousettus leschenaultii-picobirnaviridae","Rousettus leschenaultii","picobirnaviridae"
"Rousettus leschenaultii-picornaviridae","Rousettus leschenaultii","picornaviridae"
"Rousettus leschenaultii-totiviridae","Rousettus leschenaultii","totiviridae"
"Rousettus madagascariensis-astroviridae","Rousettus madagascariensis","astroviridae"
"Rousettus madagascariensis-coronaviridae","Rousettus madagascariensis","coronaviridae"
"Rousettus madagascariensis-picornaviridae","Rousettus madagascariensis","picornaviridae"
"Rousettus madagascariensis-rhabdoviridae","Rousettus madagascariensis","rhabdoviridae"
"Rousettus madagascariensis-caliciviridae","Rousettus madagascariensis","caliciviridae"
"Rousettus sp.-coronaviridae","Rousettus sp.","coronaviridae"
"Rousettus sp.-filoviridae","Rousettus sp.","filoviridae"
"Rousettus sp.-astroviridae","Rousettus sp.","astroviridae"
"Saccolaimus flaviventris-rhabdoviridae","Saccolaimus flaviventris","rhabdoviridae"
"Saccolaimus saccolaimus-rhabdoviridae","Saccolaimus saccolaimus","rhabdoviridae"
"Saccopteryx bilineata-orthoherpesviridae","Saccopteryx bilineata","orthoherpesviridae"
"Scotophilus dinganii-astroviridae","Scotophilus dinganii","astroviridae"
"Scotophilus dinganii-flaviviridae","Scotophilus dinganii","flaviviridae"
"Scotophilus heathii-coronaviridae","Scotophilus heathii","coronaviridae"
"Scotophilus kuhlii-togaviridae","Scotophilus kuhlii","togaviridae"
"Scotophilus kuhlii-rhabdoviridae","Scotophilus kuhlii","rhabdoviridae"
"Scotophilus kuhlii-picornaviridae","Scotophilus kuhlii","picornaviridae"
"Scotophilus kuhlii-adenoviridae","Scotophilus kuhlii","adenoviridae"
"Scotophilus kuhlii-papillomaviridae","Scotophilus kuhlii","papillomaviridae"
"Scotophilus kuhlii-polyomaviridae","Scotophilus kuhlii","polyomaviridae"
"Scotophilus kuhlii-caliciviridae","Scotophilus kuhlii","caliciviridae"
"Scotophilus kuhlii-retroviridae","Scotophilus kuhlii","retroviridae"
"Scotophilus kuhlii-hepeviridae","Scotophilus kuhlii","hepeviridae"
"Scotophilus kuhlii-circoviridae","Scotophilus kuhlii","circoviridae"
"Scotophilus kuhlii-parvoviridae","Scotophilus kuhlii","parvoviridae"
"Scotophilus kuhlii-genomoviridae","Scotophilus kuhlii","genomoviridae"
"Scotophilus kuhlii-flaviviridae","Scotophilus kuhlii","flaviviridae"
"Scotophilus kuhlii-nairoviridae","Scotophilus kuhlii","nairoviridae"
"Scotophilus kuhlii-phenuiviridae","Scotophilus kuhlii","phenuiviridae"
"Scotophilus nigrita-flaviviridae","Scotophilus nigrita","flaviviridae"
"Sturnira angeli-orthoherpesviridae","Sturnira angeli","orthoherpesviridae"
"Sturnira lilium-orthomyxoviridae","Sturnira lilium","orthomyxoviridae"
"Sturnira lilium-polyomaviridae","Sturnira lilium","polyomaviridae"
"Sturnira lilium-papillomaviridae","Sturnira lilium","papillomaviridae"
"Sturnira lilium-astroviridae","Sturnira lilium","astroviridae"
"Sturnira lilium-paramyxoviridae","Sturnira lilium","paramyxoviridae"
"Sturnira lilium-flaviviridae","Sturnira lilium","flaviviridae"
"Sturnira lilium-orthoherpesviridae","Sturnira lilium","orthoherpesviridae"
"Sturnira ludovici-flaviviridae","Sturnira ludovici","flaviviridae"
"Sturnira parvidens-togaviridae","Sturnira parvidens","togaviridae"
"Sturnira parvidens-coronaviridae","Sturnira parvidens","coronaviridae"
"Sturnira parvidens-flaviviridae","Sturnira parvidens","flaviviridae"
"Sturnira tildae-orthoherpesviridae","Sturnira tildae","orthoherpesviridae"
"Submyotodon latirostris-coronaviridae","Submyotodon latirostris","coronaviridae"
"Syconycteris australis-sedoreoviridae","Syconycteris australis","sedoreoviridae"
"Syconycteris australis-retroviridae","Syconycteris australis","retroviridae"
"Tadarida brasiliensis-togaviridae","Tadarida brasiliensis","togaviridae"
"Tadarida brasiliensis-astroviridae","Tadarida brasiliensis","astroviridae"
"Tadarida brasiliensis-orthoherpesviridae","Tadarida brasiliensis","orthoherpesviridae"
"Tadarida brasiliensis-circoviridae","Tadarida brasiliensis","circoviridae"
"Tadarida brasiliensis-rhabdoviridae","Tadarida brasiliensis","rhabdoviridae"
"Tadarida brasiliensis-retroviridae","Tadarida brasiliensis","retroviridae"
"Tadarida brasiliensis-flaviviridae","Tadarida brasiliensis","flaviviridae"
"Tadarida brasiliensis-paramyxoviridae","Tadarida brasiliensis","paramyxoviridae"
"Tadarida brasiliensis-genomoviridae","Tadarida brasiliensis","genomoviridae"
"Tadarida brasiliensis-parvoviridae","Tadarida brasiliensis","parvoviridae"
"Tadarida brasiliensis-papillomaviridae","Tadarida brasiliensis","papillomaviridae"
"Tadarida brasiliensis-polyomaviridae","Tadarida brasiliensis","polyomaviridae"
"Tadarida brasiliensis-mahapunaviridae","Tadarida brasiliensis","mahapunaviridae"
"Tadarida brasiliensis-anelloviridae","Tadarida brasiliensis","anelloviridae"
"Tadarida insignis-partitiviridae","Tadarida insignis","partitiviridae"
"Tadarida insignis-picornaviridae","Tadarida insignis","picornaviridae"
"Tadarida teniotis-orthoherpesviridae","Tadarida teniotis","orthoherpesviridae"
"Tadarida teniotis-spinareoviridae","Tadarida teniotis","spinareoviridae"
"Taphozous hildegardeae-adenoviridae","Taphozous hildegardeae","adenoviridae"
"Taphozous hildegardeae-caliciviridae","Taphozous hildegardeae","caliciviridae"
"Taphozous hildegardeae-parvoviridae","Taphozous hildegardeae","parvoviridae"
"Taphozous mauritianus-sedoreoviridae","Taphozous mauritianus","sedoreoviridae"
"Taphozous melanopogon-caliciviridae","Taphozous melanopogon","caliciviridae"
"Taphozous melanopogon-retroviridae","Taphozous melanopogon","retroviridae"
"Taphozous melanopogon-picornaviridae","Taphozous melanopogon","picornaviridae"
"Taphozous melanopogon-polyomaviridae","Taphozous melanopogon","polyomaviridae"
"Taphozous melanopogon-spinareoviridae","Taphozous melanopogon","spinareoviridae"
"Taphozous melanopogon-sedoreoviridae","Taphozous melanopogon","sedoreoviridae"
"Taphozous melanopogon-parvoviridae","Taphozous melanopogon","parvoviridae"
"Taphozous melanopogon-chuviridae","Taphozous melanopogon","chuviridae"
"Taphozous melanopogon-genomoviridae","Taphozous melanopogon","genomoviridae"
"Taphozous melanopogon-hantaviridae","Taphozous melanopogon","hantaviridae"
"Taphozous melanopogon-nodaviridae","Taphozous melanopogon","nodaviridae"
"Taphozous melanopogon-nairoviridae","Taphozous melanopogon","nairoviridae"
"Taphozous melanopogon-partitiviridae","Taphozous melanopogon","partitiviridae"
"Taphozous melanopogon-flaviviridae","Taphozous melanopogon","flaviviridae"
"Taphozous melanopogon-phenuiviridae","Taphozous melanopogon","phenuiviridae"
"Taphozous melanopogon-rhabdoviridae","Taphozous melanopogon","rhabdoviridae"
"Taphozous melanopogon-papillomaviridae","Taphozous melanopogon","papillomaviridae"
"Taphozous melanopogon-totiviridae","Taphozous melanopogon","totiviridae"
"Taphozous perforatus-astroviridae","Taphozous perforatus","astroviridae"
"Taphozous perforatus-coronaviridae","Taphozous perforatus","coronaviridae"
"Taphozous perforatus-adenoviridae","Taphozous perforatus","adenoviridae"
"Taphozous perforatus-papillomaviridae","Taphozous perforatus","papillomaviridae"
"Taphozous perforatus-peribunyaviridae","Taphozous perforatus","peribunyaviridae"
"Taphozous perforatus-flaviviridae","Taphozous perforatus","flaviviridae"
"Taphozous sp.-astroviridae","Taphozous sp.","astroviridae"
"Taphozous sp.-paramyxoviridae","Taphozous sp.","paramyxoviridae"
"Taphozous sp.-caliciviridae","Taphozous sp.","caliciviridae"
"Taphozous sp.-flaviviridae","Taphozous sp.","flaviviridae"
"Taphozous theobaldi-paramyxoviridae","Taphozous theobaldi","paramyxoviridae"
"Taphozous theobaldi-peribunyaviridae","Taphozous theobaldi","peribunyaviridae"
"Trachops cirrhosus-togaviridae","Trachops cirrhosus","togaviridae"
"Trachops cirrhosus-paramyxoviridae","Trachops cirrhosus","paramyxoviridae"
"Trachops cirrhosus-flaviviridae","Trachops cirrhosus","flaviviridae"
"Triaenops afer-astroviridae","Triaenops afer","astroviridae"
"Triaenops afer-coronaviridae","Triaenops afer","coronaviridae"
"Triaenops afer-paramyxoviridae","Triaenops afer","paramyxoviridae"
"Triaenops menamena-astroviridae","Triaenops menamena","astroviridae"
"Triaenops menamena-coronaviridae","Triaenops menamena","coronaviridae"
"Triaenops menamena-paramyxoviridae","Triaenops menamena","paramyxoviridae"
"Triaenops persicus-astroviridae","Triaenops persicus","astroviridae"
"Triaenops persicus-rhabdoviridae","Triaenops persicus","rhabdoviridae"
"Tylonycteris fulvida-circoviridae","Tylonycteris fulvida","circoviridae"
"Tylonycteris fulvida-genomoviridae","Tylonycteris fulvida","genomoviridae"
"Tylonycteris pachypus-astroviridae","Tylonycteris pachypus","astroviridae"
"Tylonycteris pachypus-circoviridae","Tylonycteris pachypus","circoviridae"
"Tylonycteris pachypus-papillomaviridae","Tylonycteris pachypus","papillomaviridae"
"Tylonycteris pachypus-hepeviridae","Tylonycteris pachypus","hepeviridae"
"Tylonycteris robustula-rhabdoviridae","Tylonycteris robustula","rhabdoviridae"
"Tylonycteris robustula-papillomaviridae","Tylonycteris robustula","papillomaviridae"
"Tylonycteris robustula-polyomaviridae","Tylonycteris robustula","polyomaviridae"
"Tylonycteris robustula-coronaviridae","Tylonycteris robustula","coronaviridae"
"Tylonycteris robustula-hepeviridae","Tylonycteris robustula","hepeviridae"
"Tylonycteris robustula-astroviridae","Tylonycteris robustula","astroviridae"
"Tylonycteris tonkinensis-circoviridae","Tylonycteris tonkinensis","circoviridae"
"Tylonycteris tonkinensis-genomoviridae","Tylonycteris tonkinensis","genomoviridae"
"Uroderma bilobatum-coronaviridae","Uroderma bilobatum","coronaviridae"
"Uroderma bilobatum-hepadnaviridae","Uroderma bilobatum","hepadnaviridae"
"Uroderma bilobatum-rhabdoviridae","Uroderma bilobatum","rhabdoviridae"
"Uroderma bilobatum-togaviridae","Uroderma bilobatum","togaviridae"
"Vampyrodes caraccioli-hepeviridae","Vampyrodes caraccioli","hepeviridae"
"Vespadelus regulus-circoviridae","Vespadelus regulus","circoviridae"
"Vespadelus regulus-papillomaviridae","Vespadelus regulus","papillomaviridae"
"Vespadelus regulus-astroviridae","Vespadelus regulus","astroviridae"
"Vespadelus regulus-adenoviridae","Vespadelus regulus","adenoviridae"
"Vespadelus regulus-coronaviridae","Vespadelus regulus","coronaviridae"
"Vespadelus regulus-paramyxoviridae","Vespadelus regulus","paramyxoviridae"
"Vespertilio murinus-coronaviridae","Vespertilio murinus","coronaviridae"
"Vespertilio murinus-circoviridae","Vespertilio murinus","circoviridae"
"Vespertilio murinus-astroviridae","Vespertilio murinus","astroviridae"
"Vespertilio murinus-rhabdoviridae","Vespertilio murinus","rhabdoviridae"
"Vespertilio murinus-spinareoviridae","Vespertilio murinus","spinareoviridae"
"Vespertilio murinus-nairoviridae","Vespertilio murinus","nairoviridae"
"Vespertilio sinensis-astroviridae","Vespertilio sinensis","astroviridae"
"Vespertilio sinensis-circoviridae","Vespertilio sinensis","circoviridae"
"Vespertilio sinensis-adenoviridae","Vespertilio sinensis","adenoviridae"
"Vespertilio sinensis-rhabdoviridae","Vespertilio sinensis","rhabdoviridae"
"Vespertilio sinensis-spinareoviridae","Vespertilio sinensis","spinareoviridae"
"Vespertilio sinensis-flaviviridae","Vespertilio sinensis","flaviviridae"
"Vespertilio sinensis-partitiviridae","Vespertilio sinensis","partitiviridae"
"Vespertilio sinensis-picornaviridae","Vespertilio sinensis","picornaviridae"
"Vespertilionidae sp.-polyomaviridae","Vespertilionidae sp.","polyomaviridae"
