"","fam_links","Host","VirusFamily","association","status"
"311","Artibeus fimbriatus-mahapunaviridae","Artibeus fimbriatus","mahapunaviridae",NA,0
"312","Artibeus fimbriatus-matonaviridae","Artibeus fimbriatus","matonaviridae",NA,0
"313","Artibeus fimbriatus-nairoviridae","Artibeus fimbriatus","nairoviridae",NA,0
"314","Artibeus fimbriatus-nodaviridae","Artibeus fimbriatus","nodaviridae",NA,0
"315","Artibeus fimbriatus-nyamiviridae","Artibeus fimbriatus","nyamiviridae",NA,0
"316","Artibeus fimbriatus-orthoherpesviridae","Artibeus fimbriatus","orthoherpesviridae",NA,0
"317","Artibeus fimbriatus-orthomyxoviridae","Artibeus fimbriatus","orthomyxoviridae",NA,0
"318","Artibeus fimbriatus-papillomaviridae","Artibeus fimbriatus","papillomaviridae",NA,0
"319","Artibeus fimbriatus-paramyxoviridae","Artibeus fimbriatus","paramyxoviridae",NA,0
"320","Artibeus fimbriatus-partitiviridae","Artibeus fimbriatus","partitiviridae",NA,0
"321","Artibeus fimbriatus-parvoviridae","Artibeus fimbriatus","parvoviridae",NA,0
